name,title
Björn Kjellström,Be Expert with Map and Compass
Black Elk,Black Elk Speaks
Blue Ribbon Malt,Test Recipes with Blue Ribbon Malt Extract
Bob Dylan,"Chronicles, Volume One"
Bob Dylan,The Concise Bob Dylan
Bob Dylan,The Superhuman Crew
Bob Dylan,Writings and Drawings
Bob Marley,Legend : the Best of Bob Marley and the Wailers
Brad Hansen,The dictionary of multimedia : terms & acronyms
Brad Leithauser,The friends of Freeland : a novel
Bradford Morrow,Trinity Fields
Bradley Denton,Lunatics
Brett Helquist,The Austere Academy
Brett Helquist,The Ersatz Elevator
Brett Helquist,The Miserable Mill
Brewster Ghiselin,The Creative Process
Brian Moore,The Magician's Wife
Brooks Hansen,"The chess garden, or, The twilight letters of Gustav Uyterhoeven"
Bruce Chatwin,What Am I Doing Here
Bruce Shlain,"Acid dreams : the CIA, LSD, and the sixties rebellion"
Bruno Nettl,The study of ethnomusicology : thirty-one issues and concepts
Bryan Thomas,Trails of the Gila: a guide to the recreational trails of the Silver City area
C.G. Jung,Synchronicity
C.S. Lewis,Mere Christianity
Camilla Läckberg,The Ice Princess
Camille Paglia,"Sex, art, and American culture essays"
Carl Bode,Selected Journals of Henry David Thoreau
Carl Elliot,The Maritime northwest garden guide : planning calendar for year-round organic gardening
Carl Forest,The Physics of Caribou Creek
Carl Hiaasen,Basket Case
Carl Hiaasen,Hoot
Carl Hiaasen,Skinny Dip
Carlos Castaneda,Journey to Ixtlan the lessons of Don Juan
Carlos Castaneda,The Second Ring of Power
Carlos Castaneda,Tales of Power
Carlos Castaneda,The teachings of Don Juan : a Yaqui way of knowledge
Carol Brightman,Sweet chaos : the Grateful Dead's American adventure
Cathleen Schine,The evolution of Jane
Cerridwen Fallingstar,The Heart of the Fire : a novel
Chad Hautmann,Billie's Ghost
Charles Bukowski,Notes of a Dirty Old Man
Charles Bukowski,Tales of Ordinary Madness
Charles Frazier,Cold Mountain
Charles H. Baker Jr.,"The Esquire culinary companion, being an exotic cookery book; or, Around Europe with knife, fork, and spoon"
Charles Larson,Under African Skies : modern African stories
Charles Scribner's Sons,A Little Treasure of Modern Poetry
Charlie Smith,Shine Hawk : a novel
Chinua Achebe,A Man of the People
Chinua Achebe,Things Fall Apart
Chris Bohjalian,Midwives
Chris Bohjalian,The Law of Similars
Chris Bohjalian,Water Witches
Chris Duff,On Celtic Tides
Christian Teubner,The Cheese Bible
Christopher Moore,Bite Me
Christopher Moore,Bloodsucking fiends : a love story
Christopher Moore,Practical Demonkeeping
Christopher Moore,The Lust Lizard of Melancholy Cove
Christopher Parkening,The Christopher Parkening guitar method. Vol. 1 : the art and technique of the classical guitar
Chögyam Trungpa,Shambhala : the sacred path of the warrior
Clarence Major,Dirty bird blues : a novel
Clifton Fadiman,The World treasury of modern religious thought
Clive Cussler,Atlantis Found
Clive Cussler,Blue Gold
Clive Cussler,Crescent Dawn
Clive Cussler,Cyclops
Clive Cussler,Polar Shift
Clive Cussler,Skeleton Coast
Clive Cussler,Spartan Gold
Clive Cussler,The Chase
Clive Cussler,The Kingdom : a Fargo Adventure
Clive Cussler,The Race
Clive Cussler,Valhalla Rising
Clive Cussler,White Death
Clysta Kinstler,The Moon Under Her Feet
Collins Publishing,The Cook's Own Book
Connie May Fowler,Sugar Cage
Cormac McCarthy,All the Pretty Horses
Crab Searl,"Knots, ties and splices : a handbook for seafarers, travellers and all who use cordage, with special notes "
Craig Claiborne,The New York Times Cookbook
Craig Johnson,The Cold Dish
Creative Publishing International,The Complete Guide to Home Carpentry : Carpentry Skills & Projects for Homeowners
D. M. Dooling,I become part of it : sacred dimensions in native American life
Dan Eldon,The journey is the destination : the journals of Dan Eldon
Dan Haerle,"Jazz Tunes for Improvisation, Vol. 1"
Dan Homeres,Dog Falling
Dan Homeres,Sub Rosa
Dan Millman,Way of the Peaceful Warrior
Dan O'Brien,"Equinox: life, love, and birds of prey"
Daniel Mathews,Cascade-Olympic Natural History
Daniel Quinn,Ishmael
Danny Elfman,Theme From The Simpsons
Dany Laferrière,An Aroma of Coffee
Darby Conley,Get Fuzzy : Blueprint for Disaster
Darby Conley,The Get Fuzzy Experience : are you bucksperienced
Dashka Slater,The Wishing Box
Dave DeWitt,The Pepper Garden
Dave DeWitt,Peppers of the world : an identification guide
Dave Eggers,What Is the What
Dave Eggers,You shall know our velocity : previously retitled as Sacrament
Dave Miller,"The complete handbook of home brewing : equipment, ingredients, methods, 55 recipes"
David Arnason,The Pagan Wall
David Downing,"A dreamer of pictures : Neil Young, the man and his music"
David Gans,Playing in the band : an oral and visual portrait of the Grateful Dead
David Gibbons,Cheese : a connoisseur's guide to the world's best
David Guterson,Our Lady of the Forest
David Guterson,Snow Falling on Cedars
David Haynes,Somebody else's mama : a novel
David Hoffmann,The herbal handbook : a user's guide to medical herbalism
David James Duncan,The Brothers K
David James Duncan,The River Why
David Lamb,"Vietnam, now : a reporter returns"
David Miles Huber,Modern Recording Techniques
David Owen Case,"Looking for information : a survey of research on information seeking, needs, and behavior"
David Rains Wallace,The Turquoise Dragon : a mystery
David Seals,The Powwow Highway : a novel
David Sibley,The Sibley field guide to birds of western North America
David Smith-Ferri,Battlefield without borders : Iraq poems
David Stanley,Cuba
DeLorme Mapping Company,Oregon Atlas & Gazetteer
DeLorme Mapping Company,Washington Atlas & Gazetteer
Deborah Madison,The Greens cook book : extraordinary vegetarian cuisine from the celebrated restaurant
Deepak Chopra,The seven spiritual laws of success
Denise Chávez,Face of an Angel
Derek Hansen,Sole Survivor
Dermot Bolger,Finbar's Hotel
Diane Seed,The Top 100 Pasta Sauces
Dick Francis,Break In
Dominic Behan,Ireland Sings
Don Miguel Ruiz,The four agreements : a practical guide to personal freedom
Donald C. Peattie,An Almanac for Moderns
Donald C. Peattie,An Almanac for Moderns 
Donald Miller,"Through painted deserts : light, God, and beauty on the open road"
Donna Andrews,Murder with Puffins
Dorothy Dunnett,The Game of Kings
Dorothy Dunnett,100 Selected Poems
Dorothy Dunnett,Queen's Play
Douglas Bauer,Dexterity : a novel
Dr. Seuss,The Lorax
E.R. LaChapelle,Avalanche Safety
Earl Shorris,Under the Fifth Sun
East Coast Books,Chord Chemistry for Guitar
Edward Abbey,Desert Solitaire
Edward Abbey,Down the River
Edward Abbey,The Monkey Wrench Gang
Edward Abbey,The journey home : some words in defense of the American West
Edward Abbey,A Voice Crying in the Wilderness
Edward Esko,Macrobiotic Cooking for Everyone
Edward Rice,Captain Sir Richard Francis Burton. A biography
Edwidge Danticat,"Breath, Eyes, Memory"
Edwidge Danticat,Krik? Krak!
Edwidge Danticat,The Farming of Bones
Eliot Asinof,Man on Spikes
Elisabeth Hyde,Her Native Colors
Elisabeth Hyde,Monoosook Valley
Elise Juska,Getting Over Jack Wagner
Elizabeth Arthur,Antarctic navigation : a novel
Elizabeth Berg,Range of Motion
Elizabeth Cunningham,The Return of the Goddess : a divine comedy
Elizabeth David,An Omelette and a Glass of Wine
Ellen Buchman Ewald,Recipes for a small planet; the art and science of high protein vegetarian cookery
Elliot Perlman,Seven Types of Ambiguity
Elmore Leonard,Be Cool
Elmore Leonard,Cat Chaser
Elmore Leonard,Maximum Bob
Elmore Leonard,Pagan Babies
Elmore Leonard,Road Dogs
Elmore Leonard,Rum Punch
Elmore Leonard,The Hunted
Elmore Leonard,Tishomingo Blues
Elsbeth S. Woody,Pottery on the Wheel
Elson Haas,The Detox Diet
Emily Dodi,Cucina leggera : light & healthy recipes from northern Italy
Emmett Grogan,Ringolevio : a life played for keeps
Eoin Colfer,Artemis Fowl
Eoin Colfer,The Eternity Code
Eric Clapton,Eric Clapton - Guitar
Eric Goodman,In Days of Awe
Eric Schlosser,Fast food nation : the dark side of the all-American meal
Ernest Callenbach,Ecotopia
Ernest Callenbach,Ecotopia Emerging
Esther S. Grassian,Information literacy instruction : theory and practice
Evan S. Connell,Notes from a bottle found on the beach at Carmel
Fitness Swimmer,101 Fitness Swimming Secrets
Floyd Stephen Shuttleworth,Non-Flowering Plants
Forrest Carter,The Education of Little Tree
Frances Moore Lappé,Diet for a Small Planet
Francis O'Neill,O'Neill's Music of Ireland
Franco Ferrero,Sea Kayak Navigation
Frank MacEowen,The Celtic way of seeing: meditations on the Irish spirit wheel
Frank Waters,The Book of the Hopi
Fred Darvill,Mountaineering Medicine: (a wilderness medical guide)
Frederic H. Sonnenschmidt,The Professional Chef's Art of Garde Manger
"Frederick Copleston, S.J.",A History of Philosophy
Frederick Forsyth,The Deceiver
Frederick Franck,"The awakened eye : a companion volume to The Zen of seeing : seeing, drawing as meditation"
Frederick Franck,The Zen of Seeing
Friedrick Nietzsche,Basic Writings of Nietzsche
Fyodor Dostoevsky,Crime and Punishment
Fyodor Dostoevsky,The Idiot
Fyodor Dostoevsky,The Karamazov Brothers
Gail Anderson-Dargatz,A Recipe for Bees
Garrsion Keillor,"WLT, A Radio Romance"
Garry Trudeau,Doonesbury's Greatest Hits
Gary Davis,The sound reinforcement handbook
Gary Meisner,Instant Scale and Chord Guide for Keyboards
Gary Snyder,Axe Handles: poems by Gary Snyder
Gary Snyder,The Practice of the Wild
Gary Snyder,Regarding Wave
Gary Snyder,The Back Country
Gary Snyder,Turtle Island
George Crile,Charlie Wilson's War
George Petrides,"A field guide to trees and shrubs : field marks of all trees, shrubs, and woody vines that grow wild in the northeastern and north-central United States and in southeastern and south-central Canada"
George Petrides,The Fifth Discipline : the art and practice of the learning organization
Gia-fu Feng,Tao Te Ching
Gilbert Shelton,Freak Brothers Issue 4
Ginny Callan,Horn of the Moon Cookbook
Gino Sky,Coyote Silk
Glenn Day,Simply Shrimp
Gloria Naylor,Bailey's Café
Gloria Naylor,Linden Hills
Gloria Naylor,Mama Day
Gloria Naylor,The Women of Brewster Place
Goldberry Long,Juniper Tree Burning : a novel
Gordon Parks,Voices in the Mirror : an autobiography
Gorham Kindem,The moving image : production principles and practices
Graeme Base,Animalia
Graeme Base,The Discovery of Dragons
Graeme Base,The Eleventh hour
Graeme Base,My Grandma Lived in Gooligulch
Graeme Base,Jabberwocky
Graeme Base,The Sign of the Seahorse
Graeme Base,The Worst Band in the Universe
Greg Garrett,Free Bird
Gwen Diehn,"Simple printmaking : a beginner's guide to making relief prints with linoleum blocks, wood blocks, rubber stamps, found objects & more"
Günter Grass,The Flounder
H.A. VanderCook,Expression in Music
Haare Williams,Te Ao mārama : contemporary Maori writing. volume 3
Hal Leonard Corporation,Incredible Chord Finder : a complete guide to over 1116 guitar chords
Hal Leonard Corporation,Irish Favorites
Hank Harrison,The Dead
Hank Harrison,The Dead Book
Hannah Hinchman,A Life in Hand : creating the illuminated journal.
Hannah Hinchman,A trail through leaves : the journal as a path to place
Harold McGee,On Food and Cooking: the Science and Lore of the Kitchen
Harry F. Olson,"Music, Physics, and Engineering"
Heather Cheney,Rock n Roll Comics Grateful Dead Issue 46
Heather Cheney,Rock n Roll Comics Grateful Dead Issue 45
Helen Campbell,Turnip Blues
Helen DeWitt,The Last Samurai
Helene Tursten,Detective Inspector Huss
Helene Tursten,Mutuwhenua
Henning Mankell,The White Lioness
Henry David Thoreau,Walden
Henry David Thoreau,A Week on the Concord and Merrimack Rivers
Hermann Hesse,Demian
Hermann Hesse,Siddhartha
Holly George-Warren,"Neil Young, the Rolling Stone Files"
Home Depot,"Home Depot Annual, Perennial, and Groundcover Guide"
Home Depot,Home Depot : plant guide for home landscaping
Home Depot,Home Depot Outdoor Projects 1-2-3
Home Depot,Wood Floors 1-2-3
Howard R. Wallach,50 classical guitar solos in tablature
Hugh E. Williams,Web Database Applications with PHP & MySQL
Hunter S. Thompson,Fear and Loathing in Las Vegas: a savage journey to the heart of the American dream
Hunter S. Thompson,Fear and loathing : on the campaign trail '72
Hunter S. Thompson,The Great shark hunt : Strange tales from a strange time
Hunter S. Thompson,Hell's Angels : a strange and terrible saga
Irma S. Rombauer,Joy of Cooking
Irvin D. Yalom,When Nietzsche Wept
Isabel Allende,Eva Luna
Isabel Allende,The Stories of Eva Luna
Isabel Allende,The Infinite Plan : a novel
Ivan Doig,The sea runners
Izaak Walton,The Compleat Angler
J Tom Burgess,"Knots, ties and splices : a handbook for seafarers, travellers and all who use cordage, with special notes "
J. R. H. Andrews,"The southern ark : zoological discovery in New Zealand, 1769-1900"
J. Robert Lennon,The Funnies
J.D. Salinger,The Catcher in the Rye
J.D. Salinger,Nine Stories
J.J. Henderson,Mumbo Jumbo
J.J. Henderson,Murder on Naked Beach
J.K. Rowling,Harry Potter and the Chamber of Secrets
J.K. Rowling,Harry Potter and the Order of the Phoenix
J.K. Rowling,Harry Potter and the Sorcerer's Stone
J.K. Rowling,The Prisoner of Azkaban
Jabari Asim,"The N Word : who can say it, who shouldn't, and why"
Jack Hodgins,The Macken Charm : a novel
Jack Kerouac,Book of Dreams
Jack Kerouac,The Island Within
Jack Kerouac,Mexico city blues : (242 choruses)
Jack Kerouac,On the Road
Jack Kerouac,Satori in Paris
Jack Kerouac,Some of the Dharma
Jack Kerouac,The Subterraneans
Jack Kerouac,Tristessa
Jack Kerouac,Vanity of Duluoz
Jack Kerouac,Visions of Cody
Jacqueline Grennon Brooks,The Case for Constructivist Classrooms : in search of understanding
James Beard,Beard on Bread
James Crumley,The Last Good Kiss : a novel
James Ellroy,White Jazz : a novel
James Ensor,The Superhuman Crew
James H. McMillan,Educational Research : fundamentals for the consumer
James Kelman,"How Late It Was, How Late"
James Lee Burke,Jolie Blon's Bounce : a novel
James Lee Burke,Purple Cane Road
James Major,Mandolin Chord Book
James McBride,The Color of Water
James Patterson,Beach Road
James Patterson,Cross Country
James Patterson,Cross Fire
James Patterson,The Postcard Killers : a novel
James Patterson,Private Games
James Patterson,The 8th Confession
James Patterson,Tick Tock
Jan Kerouac,Baby Driver
Jana Fayne Kolpen,"The Secrets of Pistoulet : a Fable of Food, Magic, & Love"
Jane Coleman Helmer,Complete Guide to House Plants
Jane English,Tao Te Ching
Jane McGonigal,Reality is broken : why games make us better and how they can change the world
Jane Rule,The Young in One Another's Arms
Jane S. Smith,Fool's gold : a novel
Jane Urquhart,The Underpainter
Jaroslav Pelikan,The World treasury of modern religious thought
Jean Hewitt,The New York Times New Natural Foods Cookbook
Jean Smith,365 Zen
Jean Vaysse,Toward awakening : an approach to the teaching left by Gurdjieff
Jean Zallinger,Botany
Jean-Paul Sartre,The Age of Reason
Jeff Shapiro,Renato's Luck
Jeff Smith,"The Frugal Gourmet Cooks Three Ancient Cuisines : China, Greece, Rome"
Jen Sincero,Don't Sleep with Your Drummer
Jennifer Egan,The Invisible Circus
Jerry Coker,Improvising Jazz
Jerry Garcia,"Grateful Dead : Authentic Guitar Classics, Vol. 2"
Jerry Garcia,Harrington Street
Jerry Garcia,The Grateful Dead Movie
Jessica Maxwell,Femme d'adventure : travel tales from Inner Montana to Outer Mongolia
Jiawei Han,Data mining : concepts and techniques
Jill Ker Conway,The Road to Coorain
Jill Ker Conway,The Road from Coorain
Jim Carroll,Living at the Movies
Jim Dodge,Not Fade Away
Jim Dodge,Stone junction : an alchemical potboiler
Jim DuFresne,Tramping in New Zealand
Jim Harrison,A Good day to Die : a novel
Jim Harrison,Farmer
Jim Harrison,Julip
Jim Harrison,Legends of the Fall
Jim Harrison,The Raw and the Cooked
Jim Harrison,Returning to Earth
Jim Harrison,Sundog
Jim Harrison,The Road Home
Jim Harrison,The Beast God Forgot to Invent
Jim Harrison,Warlock: A Novel
Jim Harrison,Wolf
Jim Webb,Fields of Fire
Jimella Lucas,The Ark Restaurant Cookbook : Cuisine of the Pacific Northwest 
Jimmy McDonough,Shakey : Neil Young's biography
Jingxiong Wu,Tao Te Ching
Jo-Ann Mapson,Shadow Ranch : a novel
Joanna Rose,Coastliners : a novel
Joanna Rose,Little Miss Strange
Joanne Harris,Chocolat : a novel
Joanne Harris,Holy Fools
Jodi Picoult,Songs of the humpback whale : a novel in five voices
Joe Coomer,Beachcombing for a Shipwrecked God
John Barth,The Last Voyage of Somebody the Sailor
John Barth,The Tidewater tales : a novel
John Brimhall,The Best of the Best of Brimhall Jazz Standards
John Burdett,Bangkok 8
John Burdett,Bangkok Tattoo
John Casey,The Half-life of Happiness
John Clellon Holmes,Get Home Free
John Clellon Holmes,The Horn
John Crowley,Aegypt
John Crowley,Love & Sleep
John Dufresne,Louisiana Power & Light
John G. Neihardt,Black Elk Speaks
John Hanson Mitchell,Ceremonial time : fifteen thousand years on one square mile
John Hanson Mitchell,Living at the End of Time
John Kennedy Toole,A Confederacy of Dunces
John Kennedy Toole,The Neon Bible
John Klemmer,The Jazz Styles of John Klemmer
John Lescroart,Hard Evidence
John Lewis,Walking with the wind : a memoir of the movement
John Lust,The Herb Book
John McPhee,Encounters with the Archdruid
John McPhee,Giving Good Weight
John McPhee,Irons in the Fire
John McPhee,La Place de la Concorde Suisse
John McPhee,Looking for a Ship
John McPhee,The Pine Barrens
John McPhee,The Control of Nature
John Robbins,Diet for a New America
John Steinbeck,Cannery Row
John Steinbeck,The Log From the Sea of Cortez
John Steinbeck,Sweet Thursday
John Steinbeck,Travels with Charley : in search of America
John Steinbeck,Travels With Charley : in search of America
John Steinbeck,The Winter of Our Discontent
John Stephenson,Teaching & learning online : pedagogies for new technologies
John Straley,The Woman Who Married a Bear
John Thorne,Serious pig : an American cook in search of his roots
John W. Scott,DeadBase X : the complete guide to Grateful Dead song lists
John Watkinson,The Art of Digital Video
John Wiessinger,"Flowers, ferns, and fungi-right before your eyes"
Jon Hassler,Rookery Blues
Jonathan Cott,Dylan
Jonathan Raban,Passage to Juneau
Joni Rodgers,Crazy for Trying ; a novel
Jorge Amado,The War of the Saints
Joseph Campbell,The inner reaches of outer space : metaphor as myth and as religion
Joseph Conrad,Heart of Darkness and The Secret Sharer
Joseph Heller,Catch 22
Joseph Sheban,The Wisdom of Gibran
Joshua Piven,The worst-case scenario survival handbook : dating & sex
Josquin Des Pres,Guitar Fitness : an exercising handbook
Jostein Gaarder,Maya
Jostein Gaarder,Sophie's world : a novel about the history of philosophy
Judy Fong Bates,Midnight at the Dragon Café
Judy Jewell,Oregon
Julee Rosso,The Silver Palate Cookbook
Julee Rosso,The Silver Palate good times cookbook
Julia Alvarez,In the Time of the Butterflies
Jun'ichirō Tanizaki,"A Cat, a Man, and Two Women : stories"
Kahlil Gibrán,The Prophet
Kahlil Gibrán,The Wisdom of Gibran
Karen Betteridge,Nature's Foods
Karen C. Knox,"Implementing Technology Solutions in Libraries : Techniques, Tools, and Tips from the Trenches"
Karl Marlantes,Matterhorn : a novel of the Vietnam War
Kate Atkinson,Case histories
Kate Atkinson,Emotionally Weird
Kate Atkinson,In the Drink
Katherine Neville,A Calculated Risk
Kathleen Tyau,A Little Too Much is Enough
Kathleen Tyau,A Philosophical Investigation
Kathryn Stern,Another Song About the King
Kathryn Thompson,Close your eyes and think of Dublin : portrait of a girl
Kazuko Masui,French Cheese
Kazuko Masui,French Cheeses
Kazuo Ishiguro,The Remains of the Day
Keith Jack,Video demystified : a handbook for the digital engineer
Ken Follett,Night Over Water
Ken Kesey,Demon Box
Ken Kesey,One Flew Over the Cuckoo's Nest
Ken Kesey,Sailor Song
Ken Kesey,Sometimes a Great Notion
Kenneth Brower,The Starship and the Canoe
Kenneth Patchen,The Journal of Albion Moonlight
Kenneth Ring,Heading toward omega : in search of the meaning of the near-death experience
Kent Anderson,Sympathy for the Devil
Keri Hulme,The Bone People : a Novel
Keri Hulme,The Windeater
Kerstin Ekman,Blackwater
Kevin Desouza,Knowledge Management: An Introduction
Kiana Davenport,Shark Dialogues
Kiran Desai,Hullabaloo in the Guava Orchard
Kit Knight,The Beat Vision
Krystyna Pomorska,Fifty Years of Russian Prose
Krystyna Pomorska,Fifty Years of Russian Prose v.2
Kurt Vonnegut,Cat's Cradle
Kurt Vonnegut,Deadeye Dick : a novel
Kurt Vonnegut,Galápagos : a novel
Kurt Vonnegut,"God bless you, Mr. Rosewater"
Kurt Vonnegut,"Slaughterhouse-five, or, The children's crusade : a duty dance with death"
Kwadwo Agymah Kamau,Flickering Shadows
Ladies' Union Circle,From the Galleys of Nantucket
Larry Brown,Fay: a novel
Larry Rockoff,The Language of SQL
Laura Pedersen,Beginner's Luck
Laurel Robertson,Laurel's kitchen : a handbook for vegetarian cookery & nutrition
Laurence G. Boldt,How to Find the Work You Love
Lawrence Lee,Jack's Book : an Oral Biography of Jack Kerouac
Lawrence Millman,Our like will not be there again : notes from the west of Ireland
Lawrence Norfolk,Lemprière's Dictionary
Lee Child,Bad Luck and Trouble
Lee Child,Gone Tomorrow
Lee Child,The Hard Way
Leigh Riker,Strapless
Lemony Snicket,A box of unfortunate events : the situation worsens
Leo Tolstoy,Anna Karenina. Book 1
Leo Tolstoy,Anna Karenina. Book 2
Leo Tolstoy,Childhood Adolescence Youth
Leo Tolstoy,The Death of Ivan Lynch and Other Stories
Leo Tolstoy,The Portable Tolstoy
Leonardo Maugeri,The Age of Oil : What They Don't Want You to Know About the World's Most Controversial Resource
Lester Bangs,"Mainlines, blood feasts and bad taste : a Lester Bangs reader"
Lewis Carroll,Alice in Wonderland and Through the Looking Glass
Lewis Porter,John Coltrane : his life and music
Lillian Breslow Rubin,Worlds of Pain : Life in the Working-Class Family
Lindsey Davis,One Virgin Too Many
Lisa Bach,Her fork in the road : women celebrate food and travel
Lois Mai Chan,Cataloging and classification : an introduction
Lorraine Anderson,Sisters of the Earth : women's prose and poetry about nature
Lorraine Anderson,The Sivananda Companion to Yoga
Louisa E. Rhine,PSI what is it?
Louise Erdrich,Tracks : a novel
Louise Rennison,"On the bright side, I'm now the girlfriend of a sex god"
MIT Outing Club,Fundamentals of Rock Climbing
Madeleine L'Engle,A Wrinkle in Time
Madhur Jaffrey,World-of-the-East Vegetarian Cooking
Maeve Binchy,Tara Road
Malcolm Cowley,The Portable Faulkner
Malcolm Gladwell,The Tipping Point: how little things can make a big difference
Manju Shivraj Singh,The Spice Box : Vegetarian Indian Cookbook
Margaret M. Wittenberg,Good Food : the Complete Guide to Eating Well
Marianne Fredriksson,Hanna's Daughters
Marita Conlon-McKenna,The Magdalen
Marjorie Winn Ford,The Deaf Smith Country Cookbook
Mark Bego,Joni Mitchell
Mark Bridges,The Gig Bag Book of Arpeggios for All Guitarists
Mark Bridges,The Gig Bag Book of Scales for All Guitarists
Mark Jacobs,Stone Cowboy : a novel
Mark Jacobson,The KGB Bar Nonfiction Reader
Mark Twain,The Adventures of Huckleberry Finn
Martin A. Lee,"Acid dreams : the CIA, LSD, and the sixties rebellion"
Martin Cruz Smith,Havana Bay : a novel
Mary Deirdre Donovan,The New Professional Chef
Mary Estella,Natural Foods Cookbook: Vegetarian dairy-free cuisine
Mary Monroe,The Upper Room
Mary Oliver,American Primitive : poems
Maryse Condé,Crossing the Mangrove
Maryse Condé,Tree of Life
Matteo Carcassi,Carcassi - 25 melodic and progressive studies for guitar
Max Allan Collins,Angels in Black
Max McCalman,Cheese : a connoisseur's guide to the world's best
Maxine Hong Kingston,Tripmaster Monkey
Maxwell Eden,Kiteworks : explorations in kite building & flying
Maya Angelou,Singin' and swingin' and gettin' merry like Christmas 
