name,title,url
Baka Beyond,Spirit of the Forest,https://musicbrainz.org/release-group/cd30cc39-3855-3e83-ab92-623831c66829
Barrel of Blues,Double Barrel Blues,https://musicbrainz.org/release/81ca2960-9b7b-4715-a58b-0ea48965793e
Battlefield Band,Home Ground,https://musicbrainz.org/release/92b39563-db48-43f9-aea6-4202f23c392a
Beau Jocque and the Zydeco Hi-Rollers,"Check It Out, Lock It In, Crank It Up!",https://musicbrainz.org/release/007195e3-cc99-4408-a81b-82f4577f85ce
Beau Jocque and the Zydeco Hi-Rollers,Pick Up On This!,https://musicbrainz.org/release/f3ae3377-8a18-41c9-b745-ff6053bb65e5
BeauSoleil,Cajun Conja,https://musicbrainz.org/release/b34eef68-3932-4565-ba34-296fffa71caf
BeauSoleil,L'Amour ou la Folie,https://musicbrainz.org/release/5311e9f9-fe6d-4d1c-ba21-46d4b8e0bd71
BeauSoleil,Live! From the Left Coast,https://musicbrainz.org/release/e848f2d0-2506-4378-8f2f-dbd599cf853f
Bebel Gilberto,Bebel Gilberto (CD),https://musicbrainz.org/release/2c996e0f-e8c2-3167-894c-ab59a7c74989
Bebel Gilberto,Tanto Tempo,https://musicbrainz.org/release/27b97cd4-5ab6-3a6f-a1f1-edbc6248e5c9
Ben Harper,Both Sides of the Gun,https://musicbrainz.org/release/4acd5fe4-d4e4-45a2-9a2b-d226df5f2933
Ben Harper,Burn to Shine,https://musicbrainz.org/release/a2611b7b-593a-4d9f-8b04-81c746e2312f
Ben Harper,Fight for Your Mind,https://musicbrainz.org/release/d9d8e0e1-ed72-3662-a0f8-5dc78125a973
Ben Harper,Live From Mars,https://musicbrainz.org/release/94861915-41de-4b7d-9211-bf713bb3f93f
Ben Harper,Live at the Hollywood Bowl (ep),https://musicbrainz.org/release/fdbc1df8-5572-4fd7-9812-8bc5f325dec1
Ben Harper,There Will Be A Light,https://musicbrainz.org/release/b45b9be8-7f09-4b84-abe5-09e6bb4ac68f
Ben Harper,Welcome to the Cruel World,https://musicbrainz.org/release/5ec54bef-a930-3842-89f1-395c26b4d42a
Ben Harper,The Will to Live,https://musicbrainz.org/release/49249137-b123-4414-a196-3e8c77548ad3
Ben Harper,The Will to Live : The Live EP,https://musicbrainz.org/release/7ef39e4b-9e2e-405f-89bf-bbd1fee91164
Berta Rojas,Intimate Barrios,https://musicbrainz.org/release/96cd9411-8899-4866-8189-841848f6f7dd
Bessie Smith,The Collection,https://musicbrainz.org/release/6d005c05-2c56-48ad-a660-fd66657c5160
Beth Hart,Live at Paradiso,https://musicbrainz.org/release/0dd495ee-57c6-4b2f-871b-b91891512a9b
Beth Nielsen Chapman,Deeper Still,https://musicbrainz.org/release/9d9560ff-bac3-43ef-8ded-442d34ec8d68
Beth Nielsen Chapman,Sand and Water,https://musicbrainz.org/release-group/b44ebc7f-0564-3c9e-b2f5-47f9abc78e7a
Beth Quist,Lucidity,https://musicbrainz.org/release/344c8b8f-b04f-4927-a27a-708f601d2638
Beth Quist,Shall We Dance,https://musicbrainz.org/release/c0abb484-98cb-44dc-8631-3107af68fcc5
Bill Bruford,One of a Kind,https://musicbrainz.org/release-group/d2595b71-5353-3ae7-853d-3490e0622353
Bill Bruford,Upper Extremities,https://musicbrainz.org/release/a485361f-b525-4543-ac0b-61c97421b13d
Bill Frisell,"Good Dog, Happy Man",https://musicbrainz.org/release/77e5859c-f164-42b6-bb5a-6dd2724003bc
Bill Frisell,Is That You?,https://musicbrainz.org/release/9dacd67b-3d67-4c82-9093-62ea9109f4a2
Bill Frisell,Live,https://musicbrainz.org/release/d6349333-58c2-4aa1-bc07-be5fb9877e60
Bill Frisell,Lookout for Hope,https://musicbrainz.org/release/0cefe3fa-a5fd-41ba-9b89-ae4b2a3f26e8
Bill Frisell,Smash & Scatteration,https://musicbrainz.org/release/5545706b-ba5b-48ab-9b68-022b450963d9
Bill Frisell,This Land,https://musicbrainz.org/release/1cc59083-6a89-4836-81a2-90956775c714
Bill Frisell,Works,https://musicbrainz.org/release/af1d4584-2aad-4344-b124-d8325efd8f2e
Bill Laswell,Dark Massive Disengage Ambient Compendium,https://musicbrainz.org/release/26c06ad5-e1c3-44e5-b0e8-ca17c6a25e7c
Bill Morrissey,Friend of Mine,https://musicbrainz.org/release/8070e370-5fe6-48c7-bad5-77c9a013da13
Billie Holiday,Billie’s Best,https://musicbrainz.org/release/2dd56925-4780-404d-b3d5-62987f4678c1
Billie Holiday,Billie’s Blues,https://musicbrainz.org/release/fcc703ec-6fe1-4835-ae36-1d515272b030
Billie Holiday,Lady in Autumn: The Best of the Verve Years,https://musicbrainz.org/release/9f6007b5-3f40-4d76-84c7-9daf5e2b86b8
Billie Holiday,"Lady's Decca Days, Volume One",https://musicbrainz.org/release/561e20b5-6bb1-4bc1-bd13-bad2881a0b01
Billie Holiday,"The Quintessential Billie Holiday, Vol. 2",https://musicbrainz.org/release/b66dec9a-e836-4cdc-9829-ec0dae9ae440
Billie Holiday,"The Quintessential Billie Holiday, Vol. 5",https://musicbrainz.org/release/38932f89-2cf0-4af6-ac14-d0fd2e66189f
Billie Holiday,"The Quintessential Billie Holiday, Vol. 6",https://musicbrainz.org/release/e1f19810-150b-4073-a24a-64c9e58faf4a
Billie Holiday,"The Quintessential Billie Holiday, Vol. 7",https://musicbrainz.org/release/18383b88-cd98-4f38-a9ea-197092f8ec72
Billie Holiday,The Legacy 1933-1958,https://musicbrainz.org/release/01ab06a7-49f5-4cb7-9ff6-29b998c2d9c7
Billie Holiday,The Silver Collection,https://musicbrainz.org/release/0aa514bf-5be2-475a-ac1b-0222f9d4c881
Billy Bragg,The Peel Session Album,https://musicbrainz.org/release/8fc495a8-129d-404f-a7e5-9fba28997c3f
Billy Bragg,William Bloke,https://musicbrainz.org/release/01f8a2a0-8996-4277-9f00-10b27b51db78
Billy Cobham,Total Eclipse,https://musicbrainz.org/release/6c895bc5-7781-3cef-829e-0e1449b9c2f1
Björk,Homogenic,https://musicbrainz.org/release/7a2ad97a-55e9-48a4-953b-45ddc10f7f0f
Black Flag,Family Man,https://musicbrainz.org/release/29888d56-d9f0-41d3-b77c-b42f46200d14
Black Flag,Who's Got the 10½?,https://musicbrainz.org/release/dcaf0cab-da06-4ea7-86b5-66f0e9996bec
Black Sabbath,Paranoid,https://musicbrainz.org/release/40b08941-d5e9-49d6-bb75-625db9381d32
Black Uhuru,Anthem,https://musicbrainz.org/release/a4fe9bb1-1790-4d5f-93b1-aabe513ec6ff
Black Uhuru,Chill Out,https://musicbrainz.org/release/2fac5b16-6da2-3dae-bdb5-9d3b7db2919b
Black Uhuru,Sinsemilla,https://musicbrainz.org/release/c3a34cfd-e931-43ca-acbb-f0a820cd9340
Blind Faith,Blind Faith,https://musicbrainz.org/artist/53fa91ca-a2b9-463d-b78e-daca9894082a
Bluegrass Reunion,Bluegrass Reunion,https://musicbrainz.org/release/ebd26d0e-217d-450a-94cb-e55c2758107b
Blues Traveler,Blues Traveler,https://musicbrainz.org/artist/6b28ecf0-94e6-48bb-aa2a-5ede325b675b
Bob Brozman,Tone Poems III,https://musicbrainz.org/release/8b6fea72-5e21-41dd-84b9-25c54a2c016a
Bob Dylan,Another Side of Bob Dylan,https://musicbrainz.org/release-group/b18ef710-0e47-3c10-ab0b-6631533549ee
Bob Dylan,At Budokan,https://musicbrainz.org/release-group/77c2d53b-072c-3bd6-91ae-5d66a28ebd2f
Bob Dylan,The Basement Tapes,https://musicbrainz.org/release-group/47873729-6db0-3431-99e7-0292e939dadf
Bob Dylan,Before the Flood,https://musicbrainz.org/release-group/d11eff0d-e0e7-35f4-b114-c90910028333
Bob Dylan,Biograph,https://musicbrainz.org/release-group/b5cbeb61-6e9c-38a8-9cb7-caf456782361
Bob Dylan,Blonde on Blonde,https://musicbrainz.org/release-group/329fb554-2a81-3d8a-8e22-ec2c66810019
Bob Dylan,Blood on the Tracks,https://musicbrainz.org/release-group/9c1b8072-eb1d-33d2-af8c-984d46e40902
Bob Dylan,"The Bootleg Series, Volumes 1–3: 1961–1991: Rare and Unreleased",https://musicbrainz.org/release-group/695c83f9-0919-32b0-af9a-4e58eaf0411e
Bob Dylan,"The Bootleg Series, Vol. 4: Live 1966: The “Royal Albert Hall” Concert",https://musicbrainz.org/release-group/49da924d-13fd-32be-8e22-7093f5ef400e
Bob Dylan,"The Bootleg Series, Vol. 5: Live 1975: The Rolling Thunder Revue",https://musicbrainz.org/release-group/8ca47636-6fd8-3e17-9095-09503f605440
Bob Dylan,"The Bootleg Series, Vol. 6: Live 1964: Concert at Philharmonic Hall",https://musicbrainz.org/release-group/a7a11770-e2e5-38a3-8c5b-9280d65dd9a5
Bob Dylan,Desire,https://musicbrainz.org/release-group/fc325dd3-73ed-36aa-9c77-6b65a958e3cf
Bob Dylan,The Dylan/Cash Sessions,https://musicbrainz.org/release/60984c42-154f-46cc-ba2e-e7503f582646
Bob Dylan,Dylan & the Dead,https://musicbrainz.org/release/4eed761b-1e14-43ec-902c-852656fa91fd
Bob Dylan,Emmett Grogan Acetates,https://musicbrainz.org/release/d05fa3ed-3cd3-48d5-95e0-48f90882d476
Bob Dylan,Empire Burlesque,https://musicbrainz.org/release-group/a90b32b2-c84d-35ad-bab3-07e6799cde5b
Bob Dylan,Good As I Been to You,https://musicbrainz.org/release-group/43f420f8-44ca-3ff2-92c2-c6f285cb163b
Bob Dylan,Highway 61 Revisited,https://musicbrainz.org/release-group/fb48b1dc-412f-36aa-8820-1023c08c46c6
Bob Dylan,Infidels,https://musicbrainz.org/release-group/60f27712-263a-348c-8eda-b5315a67e8c2
Bob Dylan,Influence Vol. 2: I Was Young When I Left Home,https://musicbrainz.org/release/0187ebe9-bc40-48d5-bee0-716ec5c4996d
Bob Dylan,Love and Theft,https://musicbrainz.org/release-group/9980ffe5-c5b5-3a83-8c1e-1ec6618f97ca
Bob Dylan,MTV Unplugged,https://musicbrainz.org/release-group/3ee15c41-77b1-32bd-9513-d6035444a34e
Bob Dylan,Modern Times,https://musicbrainz.org/release-group/d300b74b-02b4-33e3-998e-e4405e8e6580
Bob Dylan,Nashville Skyline,https://musicbrainz.org/release-group/2ca28746-8987-3015-b54c-75b3aa8ca1a1
Bob Dylan,Oh Mercy,https://musicbrainz.org/release-group/36675813-6c3c-33fa-8eaf-b1cd66d4f006
Bob Dylan,Planet Waves,https://musicbrainz.org/release-group/aedd518d-d7e0-3595-80c7-54d2aad292f8
Bob Dylan,Real Live,https://musicbrainz.org/release-group/c071ff9b-51f6-3999-aaba-594002dc6022
Bob Dylan,Self Portrait,https://musicbrainz.org/release-group/6163aa70-d97f-34e5-a5bf-54b7d85a7ea0
Bob Dylan,Thin Wild Mercury Music,https://musicbrainz.org/release/38f40f0f-677a-40ce-ba2f-4da1c93cfa70
Bob Dylan,Time Out of Mind,https://musicbrainz.org/release-group/dad1dada-1fda-3186-beb7-3bc80e90f9e0
Bob Dylan,Together Through Life,https://musicbrainz.org/release-group/2202f7cc-6ce1-3aea-85b0-163347528402
Bob Dylan,Under the Red Sky,https://musicbrainz.org/release-group/8d231aa3-4a4e-306a-a3f9-4421e846bb1a
Bob Dylan,World Gone Wrong,https://musicbrainz.org/release/3cba7f03-13b4-4c2c-9307-f8dc3db4a678
Bob James,Cool,https://musicbrainz.org/release/6f96d073-87ad-4e66-befa-ea3e577c644d
Bob James,Grand Piano Canyon,https://musicbrainz.org/release/0fa56e29-96cd-4800-8b98-26d6687788c0
Bob Marley & The Wailers,Burnin',https://musicbrainz.org/release/d31904ea-2257-41e9-b5f0-4ff970a5bce8
Bob Marley & The Wailers,Catch a Fire,https://musicbrainz.org/release/776a48b4-2e3a-440d-9b62-dfac8a3e40a8
Bob Marley & The Wailers,Exodus,https://musicbrainz.org/release/02beea32-c645-37c4-abb9-8c311bc36a6d
Bob Marley & The Wailers,Kaya,https://musicbrainz.org/release/6571aa7a-5de8-34df-acce-d3ab13b775c1
Bob Marley & The Wailers,Live!,https://musicbrainz.org/release/452cf962-f646-4150-ba46-450965e84488
Bob Marley & The Wailers,Natty Dread,https://musicbrainz.org/release/d1007b74-c38a-4996-b13f-cd1c67a97814
Bob Marley & The Wailers,Rastaman Vibration,https://musicbrainz.org/release/d306e7dc-cc36-4bb1-b259-389347f5f6b2
Bob Marley & The Wailers,Songs of Freedom,https://musicbrainz.org/release/9bca615a-93c0-4a1a-ae21-3282a955eed4
Bob Marley & The Wailers,Talkin' Blues,https://musicbrainz.org/release/f7d5ae0c-52bd-4379-9360-0ef771b47265
Bob Marley & The Wailers,Uprising,https://musicbrainz.org/release/f05b59f2-edc1-4c33-8dc9-795ace7f1c3e
Bob Mould,Black Sheets of Rain,https://musicbrainz.org/release/cb385205-868d-3ae1-b52e-7525a5111c04
Bob Mould,Workbook,https://musicbrainz.org/release/1a547adc-c99e-4c55-87b1-5d7da769d743
Bobby Bland,Together Again - Live,https://musicbrainz.org/release/a5318f8d-415a-43b5-bcf5-57ef11428c9a
Bonnie Raitt,Bonnie Raitt,https://musicbrainz.org/release/a5eb8446-d37a-35cf-8e06-cc3968bd0f8e
Bonnie Raitt,Fundamental,https://musicbrainz.org/release/02bbe911-91b7-41ea-8222-99e44e85617f
Bonnie Raitt,Give It Up,https://musicbrainz.org/release/aaeb3a56-00c3-3fb2-b183-f65e6355af33
Bonnie Raitt,Green Light,https://musicbrainz.org/release/589af027-6f93-4be3-b49f-ad0e8c22148c
Bonnie Raitt,Home Plate,https://musicbrainz.org/release/dbbdfc5e-940d-4721-a86f-7179e7c27c46
Bonnie Raitt,Longing In Their Hearts,https://musicbrainz.org/release/c7be2f58-5816-43fa-8c62-89f83a2c9efd
Bonnie Raitt,Luck of the Draw,https://musicbrainz.org/release/2316a494-0176-426d-abcb-508a420372d3
Bonnie Raitt,Nick of Time,https://musicbrainz.org/release/32fdca94-c832-4f04-96b2-701d17223853
Bonnie Raitt,Road Tested,https://musicbrainz.org/release/f1f2b219-6224-426c-9742-c75010e68fb4
Bonnie Raitt,Silver Lining,https://musicbrainz.org/release/28a9bfa4-c397-49aa-914e-68c6df75bfbd
Bonnie Raitt,Streetlights,https://musicbrainz.org/release/21233587-1796-32b2-8f79-aedfb6395496
Bonnie Raitt,Sweet Forgiveness,https://musicbrainz.org/release/ce55d23a-d234-3791-82c4-3b046c988b80
Bonnie Raitt,Takin' My Time,https://musicbrainz.org/release/2b0b8715-6052-3384-aa1c-4d81b7e727c4
Bonnie Raitt,The Bonnie Raitt Collection,https://musicbrainz.org/release/3905e1fc-9b1c-4c98-a7ca-174265c73c9c
Bonnie Raitt,The Glow,https://musicbrainz.org/release/60b0a161-5a4c-33c0-80ec-2c5b92d6d100
Boozoo Chavis,Live at the Habibi Temple,https://musicbrainz.org/release-group/ca5d4a18-67d1-416c-80c2-68a916d8ba3e
Boukan Ginen,Jou A Rive,https://musicbrainz.org/release-group/6e4709d0-47ed-3545-b93f-305d7bce8033
Branford Marsalis,Buckshot LeFonque,https://musicbrainz.org/release/04f9ee33-d824-31fd-857a-e48f92582a76
Branford Marsalis,Royal Garden Blues,https://musicbrainz.org/release/70c5411b-05d5-3eb7-9b88-99a6092d53ef
Brave Combo,Kiss of Fire,https://musicbrainz.org/release-group/397ee5d4-80b5-33a1-8a10-77da7e5c1f19
Brent Lewis,Pulse - Where the Rhythm Begins,https://musicbrainz.org/release/bff31636-944b-4d39-8bab-5f6e7e5dd3be
Brian Eno,Ambient 1: Music for Airports,https://musicbrainz.org/release/1496daaf-4b0b-3596-a252-0d3a7068f6e5
Brian Eno,Ambient 2: The Plateaux of Mirror,https://musicbrainz.org/release/e8e9a090-7250-35d0-9265-5182ea520573
Brian Eno,Ambient 4: On Land,https://musicbrainz.org/release/ceae0e07-e2dc-43fe-ab2d-9568c0da4490
