subject,prefix,author_prefix,dcterms:creator,author_last_first,rdfs:label,dcterms:title,schema:encodingFormat,schema:bookFormat
Aesops_Fables,authors,:,Aesop,Aesop,Aesop,Aesop's Fables,mobi,schema:Ebook
Five_People_In_Heaven,authors,:,Mitch_Albom,"Albom, Mitch",Mitch Albom,The Five People You Meet In Heaven,mobi,schema:Ebook
Tuesdays_With_Morrie,authors,:,Mitch_Albom,"Albom, Mitch",Mitch Albom,Tuesdays With Morrie,mobi,schema:Ebook
Little_Women,authors,:,Louisa_May_Alcott,"Alcott, Louisa May",Louisa May Alcott,Little Women,mobi,schema:Ebook
Divine_Comedy,authors,:,Dante_Alighieri,"Alighieri, Dante",Dante Alighieri,The Divine Comedy,mobi,schema:Ebook
Pacific,authors,:,Hugh_Ambrose,"Ambrose, Hugh",Hugh Ambrose,The Pacific,mobi,schema:Ebook
Band_of_Brothers,authors,:,Stephen_Ambrose,"Ambrose, Stephen E.",Stephen E. Ambrose,Band of Brothers,mobi,schema:Ebook
Citizen_Soldiers,authors,:,Stephen_Ambrose,"Ambrose, Stephen E.",Stephen E. Ambrose,Citizen Soldiers,mobi,schema:Ebook
Fairy_Tales,authors,:,Hans_Christian_Andersen,"Andersen, Hans Christian",Hans Christian Andersen,Fairy Tales,mobi,schema:Ebook
History_of_God,authors,:,Karen_Armstrong,"Armstrong, Karen",Karen Armstrong,A History of God,mobi,schema:Ebook
Foundation_01,authors,:,Isaac_Asimov,"Asimov, Isaac",Isaac Asimov,Foundation 01 - Foundation,mobi,schema:Ebook
Foundation_02,authors,:,Isaac_Asimov,"Asimov, Isaac",Isaac Asimov,Foundation 02 - Foundation and Empire,mobi,schema:Ebook
Foundation_03,authors,:,Isaac_Asimov,"Asimov, Isaac",Isaac Asimov,Foundation 03 - Second Foundation,mobi,schema:Ebook
Foundation_04,authors,:,Isaac_Asimov,"Asimov, Isaac",Isaac Asimov,Foundation 04 - Foundation's Edge,mobi,schema:Ebook
Foundation_05,authors,:,Isaac_Asimov,"Asimov, Isaac",Isaac Asimov,Foundation 05 - Foundation and Earth,mobi,schema:Ebook
Foundation_06,authors,:,Isaac_Asimov,"Asimov, Isaac",Isaac Asimov,Foundation 06 - Prelude to Foundation,mobi,schema:Ebook
Foundation_07,authors,:,Isaac_Asimov,"Asimov, Isaac",Isaac Asimov,Foundation 07 - Forward the Foundation,mobi,schema:Ebook
Oryx_and_Crake,authors,:,Margaret_Atwood,"Atwood, Margaret",Margaret Atwood,Oryx and Crake,mobi,schema:Ebook
Blind_Assassin,authors,:,Margaret_Atwood,"Atwood, Margaret",Margaret Atwood,The Blind Assassin,mobi,schema:Ebook
Handmaids_Tale,authors,:,Margaret_Atwood,"Atwood, Margaret",Margaret Atwood,The Handmaid's Tale,mobi,schema:Ebook
Year_of_Flood,authors,:,Margaret_Atwood,"Atwood, Margaret",Margaret Atwood,The Year of the Flood,mobi,schema:Ebook
Earths_Children_01,authors,:,Jean_Auel,"Auel, Jean M.",Jean M. Auel,Earth's Children 01 - The Clan of the Cave Bear ,mobi,schema:Ebook
Earths_Children_02,authors,:,Jean_Auel,"Auel, Jean M.",Jean M. Auel,Earth's Children 02 - The Valley of Horse,mobi,schema:Ebook
Earths_Children_03,authors,:,Jean_Auel,"Auel, Jean M.",Jean M. Auel,Earth's Children 03 - The Mammoth Hunters,mobi,schema:Ebook
Earths_Children_04,authors,:,Jean_Auel,"Auel, Jean M.",Jean M. Auel,Earth's Children 04 - The Plains of Passage,mobi,schema:Ebook
Earths_Children_05,authors,:,Jean_Auel,"Auel, Jean M.",Jean M. Auel,Earth's Children 05 - The Shelters of Stone,mobi,schema:Ebook
Earths_Children_06,authors,:,Jean_Auel,"Auel, Jean M.",Jean M. Auel,Earth's Children 06 - The Land of Painted Caves,mobi,schema:Ebook
Emma,authors,:,Jane_Austen,"Austen, Jane",Jane Austen,Emma,mobi,schema:Ebook
Mansfield_Park,authors,:,Jane_Austen,"Austen, Jane",Jane Austen,Mansfield Park,mobi,schema:Ebook
Northanger_Abbey,authors,:,Jane_Austen,"Austen, Jane",Jane Austen,Northanger Abbey,mobi,schema:Ebook
Persuasion,authors,:,Jane_Austen,"Austen, Jane",Jane Austen,Persuasion,mobi,schema:Ebook
Pride_and_Prejudice,authors,:,Jane_Austen,"Austen, Jane",Jane Austen,Pride and Prejudice,mobi,schema:Ebook
Sense_and_Sensibility,authors,:,Jane_Austen,"Austen, Jane",Jane Austen,Sense and Sensibility,mobi,schema:Ebook
Prison_of_Ice,authors,:,David_Axton,"Axton, David",David Axton,Prison of Ice,mobi,schema:Ebook
Holy_Blood_Holy_Grail,authors,:,Michael_Baigent,"Baigent, Michael",Michael Baigent,Holy Blood Holy Grail,prc,schema:Ebook
Prince_of_Nothing_01,authors,:,R_Scott_Bakker,"Bakker, R. Scott",R. Scott Bakker,Prince of Nothing 01 - The Darkness That Comes Before,mobi,schema:Ebook
Prince_of_Nothing_02,authors,:,R_Scott_Bakker,"Bakker, R. Scott",R. Scott Bakker,Prince of Nothing 02 - The Warrior Prophet,mobi,schema:Ebook
Prince_of_Nothing_03,authors,:,R_Scott_Bakker,"Bakker, R. Scott",R. Scott Bakker,Prince of Nothing 03 - The Thousandfold Thought,mobi,schema:Ebook
Winner,authors,:,David_Baldacci,"Baldacci, David",David Baldacci,The Winner,mobi,schema:Ebook
Crash,authors,:,JG_Ballard,"Ballard, J.G.",J.G. Ballard,Crash,mobi,schema:Ebook
Consider_Phlebas,authors,:,Iain_Banks,"Banks, Iain M.",Iain M. Banks,Consider Phlebas,mobi,schema:Ebook
Player_of_Games,authors,:,Iain_Banks,"Banks, Iain M.",Iain M. Banks,The Player of Games,mobi,schema:Ebook
Use_of_Weapons,authors,:,Iain_Banks,"Banks, Iain M.",Iain M. Banks,Use of Weapons,mobi,schema:Ebook
Excession,authors,:,Iain_Banks,"Banks, Iain M.",Iain M. Banks,Excession,mobi,schema:Ebook
Inversions,authors,:,Iain_Banks,"Banks, Iain M.",Iain M. Banks,Inversions,mobi,schema:Ebook
Look_to_Windward,authors,:,Iain_Banks,"Banks, Iain M.",Iain M. Banks,Look to Windward,mobi,schema:Ebook
Matter,authors,:,Iain_Banks,"Banks, Iain M.",Iain M. Banks,Matter,mobi,schema:Ebook
Surface_Detail,authors,:,Iain_Banks,"Banks, Iain M.",Iain M. Banks,Surface Detail,mobi,schema:Ebook
Crow_Road,authors,:,Iain_Banks,"Banks, Iain M.",Iain M. Banks,The Crow Road,mobi,schema:Ebook
Algebraist,authors,:,Iain_Banks,"Banks, Iain M.",Iain M. Banks,The Algebraist,mobi,schema:Ebook
Wasp_Factory,authors,:,Iain_Banks,"Banks, Iain M.",Iain M. Banks,The Wasp Factory,mobi,schema:Ebook
Transition,authors,:,Iain_Banks,"Banks, Iain M.",Iain M. Banks,Transition,mobi,schema:Ebook
Vampire_Huntress_01,authors,:,Leslie_Esdaile_Banks,"Banks, L. A.",L. A. Banks,Vampire Huntress 01 - Minion,prc,schema:Ebook
Vampire_Huntress_02,authors,:,Leslie_Esdaile_Banks,"Banks, L. A.",L. A. Banks,Vampire Huntress 02 - Awakening,prc,schema:Ebook
Vampire_Huntress_03,authors,:,Leslie_Esdaile_Banks,"Banks, L. A.",L. A. Banks,Vampire Huntress 03 - The Hunted,prc,schema:Ebook
Vampire_Huntress_04,authors,:,Leslie_Esdaile_Banks,"Banks, L. A.",L. A. Banks,Vampire Huntress 04 - The Bitten,prc,schema:Ebook
Vampire_Huntress_05,authors,:,Leslie_Esdaile_Banks,"Banks, L. A.",L. A. Banks,Vampire Huntress 05 - The Forbidden,prc,schema:Ebook
Vampire_Huntress_06,authors,:,Leslie_Esdaile_Banks,"Banks, L. A.",L. A. Banks,Vampire Huntress 06 - The Damned,mobi,schema:Ebook
Vampire_Huntress_07,authors,:,Leslie_Esdaile_Banks,"Banks, L. A.",L. A. Banks,Vampire Huntress 07 - The Forsaken,mobi,schema:Ebook
Vampire_Huntress_08,authors,:,Leslie_Esdaile_Banks,"Banks, L. A.",L. A. Banks,Vampire Huntress 08 - The Wicked,mobi,schema:Ebook
Vampire_Huntress_09,authors,:,Leslie_Esdaile_Banks,"Banks, L. A.",L. A. Banks, Vampire Huntress 09 - The Cursed,mobi,schema:Ebook
Vampire_Huntress_10,authors,:,Leslie_Esdaile_Banks,"Banks, L. A.",L. A. Banks,Vampire Huntress 10 - The Darkness,mobi,schema:Ebook
Vampire_Huntress_11,authors,:,Leslie_Esdaile_Banks,"Banks, L. A.",L. A. Banks,Vampire Huntress 11 - The Shadows,mobi,schema:Ebook
Elegance_of_Hedgehog,authors,:,Muriel_Barbery,"Barbery, Muriel",Muriel Barbery,The Elegance of the Hedgehog,mobi,schema:Ebook
Imajica,authors,:,Clive_Barker,"Barker, Clive",Clive Barker,Imajica,mobi,schema:Ebook
Damnation_Game,authors,:,Clive_Barker,"Barker, Clive",Clive Barker,The Damnation Game,mobi,schema:Ebook
Books_Of_Art_02,authors,:,Clive_Barker,"Barker, Clive",Clive Barker,Books Of The Art 02 - Everville,prc,schema:Ebook
Coldheart_Canyon,authors,:,Clive_Barker,"Barker, Clive",Clive Barker,Coldheart Canyon,prc,schema:Ebook
Galilee,authors,:,Clive_Barker,"Barker, Clive",Clive Barker,Galilee,prc,schema:Ebook
Imajica_01,authors,:,Clive_Barker,"Barker, Clive",Clive Barker,Imajica 01 - Fifth Dominion,prc,schema:Ebook
Imajica_02,authors,:,Clive_Barker,"Barker, Clive",Clive Barker,Imajica 02 - The Reconciliator,prc,schema:Ebook
Sacrament,authors,:,Clive_Barker,"Barker, Clive",Clive Barker,Sacrament,prc,schema:Ebook
Great_and_Secret_Show,authors,:,Clive_Barker,"Barker, Clive",Clive Barker,The Great and Secret Show,prc,schema:Ebook
Thief_of_Always,authors,:,Clive_Barker,"Barker, Clive",Clive Barker,The Thief of Always,prc,schema:Ebook
Weaveworld,authors,:,Clive_Barker,"Barker, Clive",Clive Barker,Weaveworld,prc,schema:Ebook
Big_Trouble,authors,:,Dave_Barry,"Barry, Dave",Dave Barry,Big Trouble,mobi,schema:Ebook
Jennifer_Government,authors,:,Max_Barry,"Barry, Max",Max Barry,Jennifer Government,mobi,schema:Ebook
Wonderful_Wizard_of_Oz,authors,:,L_Frank_Baum,"Baum, L. Frank",L. Frank Baum,The Wonderful Wizard of Oz,mobi,schema:Ebook
Jaws,authors,:,Peter_Benchley,"Benchley, Peter",Peter Benchley,Jaws,mobi,schema:Ebook
Alexandria_Link,authors,:,Steve_Berry,"Berry, Steve",Steve Berry,The Alexandria Link,prc,schema:Ebook
Amber_Room,authors,:,Steve_Berry,"Berry, Steve",Steve Berry,The Amber Room,prc,schema:Ebook
Romanov_Prophecy,authors,:,Steve_Berry,"Berry, Steve",Steve Berry,The Romanov Prophecy,prc,schema:Ebook
Third_Secret,authors,:,Steve_Berry,"Berry, Steve",Steve Berry,The Third Secret,prc,schema:Ebook
Venetian_Betrayal,authors,:,Steve_Berry,"Berry, Steve",Steve Berry,The Venetian Betrayal,prc,schema:Ebook
Demolished_Man,authors,:,Alfred_Bester,"Bester, Alfred",Alfred Bester,The Demolished Man,mobi,schema:Ebook
Stars_My_Destination,authors,:,Alfred_Bester,"Bester, Alfred",Alfred Bester,The Stars My Destination,mobi,schema:Ebook
Circle_of_Friends,authors,:,Maeve_Binchy,"Binchy, Maeve",Maeve Binchy,Circle of Friends,mobi,schema:Ebook
Echoes,authors,:,Maeve_Binchy,"Binchy, Maeve",Maeve Binchy,Echoes,mobi,schema:Ebook
Heart_and_Soul,authors,:,Maeve_Binchy,"Binchy, Maeve",Maeve Binchy,Heart and Soul,mobi,schema:Ebook
Minding_Frankie,authors,:,Maeve_Binchy,"Binchy, Maeve",Maeve Binchy,Minding Frankie,mobi,schema:Ebook
Tara_Road,authors,:,Maeve_Binchy,"Binchy, Maeve",Maeve Binchy,Tara Road,mobi,schema:Ebook
Glass_Lake,authors,:,Maeve_Binchy,"Binchy, Maeve",Maeve Binchy,The Glass Lake,mobi,schema:Ebook
Whitethorn_Woods,authors,:,Maeve_Binchy,"Binchy, Maeve",Maeve Binchy,Whitethorn Woods,mobi,schema:Ebook
Sleepwalk_With_Me,authors,:,Mike_Birbiglia,"Birbiglia, Mike",Mike Birbiglia,"Sleepwalk With Me, and Other Painfully True Stories",mobi,schema:Ebook
Day_By_Day_Armageddon,authors,:,JL_Bourne,"Bourne, J.L.",J.L. Bourne,Day By Day Armageddon,mobi,schema:Ebook
Beyond_Exile_,authors,:,JL_Bourne,"Bourne, J.L.",J.L. Bourne,Beyond Exile ,mobi,schema:Ebook
Black_Hawk_Down,authors,:,Mark_Bowden,"Bowden, Mark",Mark Bowden,Black Hawk Down,mobi,schema:Ebook
Fahrenheit_451,authors,:,Ray_Bradbury,"Bradbury, Ray",Ray Bradbury,Fahrenheit 451,mobi,schema:Ebook
Something_Wicked,authors,:,Ray_Bradbury,"Bradbury, Ray",Ray Bradbury,Something Wicked This Way Comes,mobi,schema:Ebook
Illustrated_Man,authors,:,Ray_Bradbury,"Bradbury, Ray",Ray Bradbury,The Illustrated Man,mobi,schema:Ebook
Zen_Art_of_Writing,authors,:,Ray_Bradbury,"Bradbury, Ray",Ray Bradbury,Zen in the Art of Writing,mobi,schema:Ebook
Moon_Called,authors,:,Patricia_Briggs,"Briggs, Patricia",Patricia Briggs,Moon Called,mobi,schema:Ebook
Blood_Bound,authors,:,Patricia_Briggs,"Briggs, Patricia",Patricia Briggs,Blood Bound,mobi,schema:Ebook
Iron_Kissed,authors,:,Patricia_Briggs,"Briggs, Patricia",Patricia Briggs,Iron Kissed,mobi,schema:Ebook
Bone_Crossed,authors,:,Patricia_Briggs,"Briggs, Patricia",Patricia Briggs,Bone Crossed,mobi,schema:Ebook
Silver_Borne,authors,:,Patricia_Briggs,"Briggs, Patricia",Patricia Briggs,Silver Borne,mobi,schema:Ebook
River_Marked,authors,:,Patricia_Briggs,"Briggs, Patricia",Patricia Briggs,River Marked,mobi,schema:Ebook
Postman,authors,:,David_Brin,"Brin, David",David Brin,The Postman,mobi,schema:Ebook
Everything_Kills_Everybody,authors,:,Robert_Brockway,"Brockway, Robert",Robert Brockway,Everything Is Going to Kill Everybody,mobi,schema:Ebook
Jane_Eyre,authors,:,Charlotte_Bronte,"Bronte, Charlotte",Charlotte Bronte,Jane Eyre,mobi,schema:Ebook
Zombie_Survival_Guide,authors,:,Max_Brooks,"Brooks, Max",Max Brooks,The Zombie Survival Guide,mobi,schema:Ebook
World_War_Z,authors,:,Max_Brooks,"Brooks, Max",Max Brooks,World War Z,mobi,schema:Ebook
Sword_of_Shannara,authors,:,Terry_Brooks,"Brooks, Terry",Terry Brooks,The Sword of Shannara,mobi,schema:Ebook
Angels_and_Demons,authors,:,Dan_Brown,"Brown, Dan",Dan Brown,Angels and Demons,mobi,schema:Ebook
Angels_and_Demons2,authors,:,Dan_Brown,"Brown, Dan",Dan Brown,Angels and Demons,prc,schema:Ebook
Deception_Point,authors,:,Dan_Brown,"Brown, Dan",Dan Brown,Deception Point,mobi,schema:Ebook
Deception_Point2,authors,:,Dan_Brown,"Brown, Dan",Dan Brown,Deception Point,prc,schema:Ebook
Digital_Fortress,authors,:,Dan_Brown,"Brown, Dan",Dan Brown,Digital Fortress,mobi,schema:Ebook
Digital_Fortress2,authors,:,Dan_Brown,"Brown, Dan",Dan Brown,Digital Fortress,prc,schema:Ebook
Da_Vinci_Code,authors,:,Dan_Brown,"Brown, Dan",Dan Brown,The Da Vinci Code,prc,schema:Ebook
Da_Vinci_Code2,authors,:,Dan_Brown,"Brown, Dan",Dan Brown,The Da Vinci Code,mobi,schema:Ebook
Lost_Symbol,authors,:,Dan_Brown,"Brown, Dan",Dan Brown,The Lost Symbol,mobi,schema:Ebook
Lost_Symbol2,authors,:,Dan_Brown,"Brown, Dan",Dan Brown,The Lost Symbol,prc,schema:Ebook
Short_History_of_Everything,authors,:,Bill_Bryson,"Bryson, Bill",Bill Bryson,A Short History of Nearly Everything,mobi,schema:Ebook
Walk_in_Woods,authors,:,Bill_Bryson,"Bryson, Bill",Bill Bryson,A Walk in the Woods,mobi,schema:Ebook
Stranger_Here_Myself,authors,:,Bill_Bryson,"Bryson, Bill",Bill Bryson,I'm a Stranger Here Myself,mobi,schema:Ebook
Made_in_America,authors,:,Bill_Bryson,"Bryson, Bill",Bill Bryson,Made in America,mobi,schema:Ebook
Women,authors,:,Charles_Bukowski,"Bukowski, Charles",Charles Bukowski,Women,mobi,schema:Ebook
Master_and_Margarita,authors,:,Mikhail_Bulgakov,"Bulgakov, Mikhail",Mikhail Bulgakov,The Master and Margarita,mobi,schema:Ebook
Clockwork_Orange,authors,:,Anthony_Burgess,"Burgess, Anthony",Anthony Burgess,A Clockwork Orange,mobi,schema:Ebook
Naked_Lunch,authors,:,William_S_Burroughs,"Burroughs, William",William Burroughs,Naked Lunch,mobi,schema:Ebook
Decision_Points,authors,:,George_W_Bush,"Bush, George W.",George W. Bush,Decision Points,mobi,schema:Ebook
Codex_Alera_01,authors,:,Jim_Butcher,"Butcher, Jim",Jim Butcher,Codex Alera 01 - Furies of Calderon,mobi,schema:Ebook
Codex_Alera_02,authors,:,Jim_Butcher,"Butcher, Jim",Jim Butcher,Codex Alera 02 - Academ's Fury,mobi,schema:Ebook
Codex_Alera_03,authors,:,Jim_Butcher,"Butcher, Jim",Jim Butcher,Codex Alera 03 - Cursor's Fury,mobi,schema:Ebook
Codex_Alera_04,authors,:,Jim_Butcher,"Butcher, Jim",Jim Butcher,Codex Alera 04 - Captain's Fury,mobi,schema:Ebook
Codex_Alera_05,authors,:,Jim_Butcher,"Butcher, Jim",Jim Butcher,Codex Alera 05 - Princeps' Fury,mobi,schema:Ebook
Codex_Alera_06,authors,:,Jim_Butcher,"Butcher, Jim",Jim Butcher,Codex Alera 06 - First Lord's Fury,mobi,schema:Ebook
Day_Off,authors,:,Jim_Butcher,"Butcher, Jim",Jim Butcher,Day Off,prc,schema:Ebook
Harry_Dresden_01,authors,:,Jim_Butcher,"Butcher, Jim",Jim Butcher,Harry Dresden 01 - Storm Front,mobi,schema:Ebook
Harry_Dresden_02,authors,:,Jim_Butcher,"Butcher, Jim",Jim Butcher,Harry Dresden 02 - Fool Moon,mobi,schema:Ebook
Harry_Dresden_03,authors,:,Jim_Butcher,"Butcher, Jim",Jim Butcher,Harry Dresden 03 - Grave Peril,mobi,schema:Ebook
Harry_Dresden_04,authors,:,Jim_Butcher,"Butcher, Jim",Jim Butcher,Harry Dresden 04 - Summer Knight,mobi,schema:Ebook
Harry_Dresden_05,authors,:,Jim_Butcher,"Butcher, Jim",Jim Butcher,Harry Dresden 05 - Death Masks,mobi,schema:Ebook
Harry_Dresden_06,authors,:,Jim_Butcher,"Butcher, Jim",Jim Butcher,Harry Dresden 06 - Blood Rites,mobi,schema:Ebook
Harry_Dresden_07,authors,:,Jim_Butcher,"Butcher, Jim",Jim Butcher,Harry Dresden 07 - Dead Beat,mobi,schema:Ebook
Harry_Dresden_08,authors,:,Jim_Butcher,"Butcher, Jim",Jim Butcher,Harry Dresden 08 - Proven Guilty,mobi,schema:Ebook
Harry_Dresden_09,authors,:,Jim_Butcher,"Butcher, Jim",Jim Butcher,Harry Dresden 09 - White Night,mobi,schema:Ebook
Harry_Dresden_10,authors,:,Jim_Butcher,"Butcher, Jim",Jim Butcher,Harry Dresden 10 - Small Favor,mobi,schema:Ebook
Harry_Dresden_11,authors,:,Jim_Butcher,"Butcher, Jim",Jim Butcher,Harry Dresden 11 - Turn Coat,mobi,schema:Ebook
Harry_Dresden_12,authors,:,Jim_Butcher,"Butcher, Jim",Jim Butcher,Harry Dresden 12 - Changes,mobi,schema:Ebook
Harry_Dresden_13,authors,:,Jim_Butcher,"Butcher, Jim",Jim Butcher,Harry Dresden 13 - Side Jobs,mobi,schema:Ebook
Wild_Seed,authors,:,Octavia_E_Butler,"Butler, Octavia",Octavia Butler,Wild Seed,mobi,schema:Ebook
Postman_Always_Rings_Twice,authors,:,James_M_Cain,"Cain, James M.",James M. Cain,The Postman Always Rings Twice,mobi,schema:Ebook
Winters_Night_Traveller,authors,:,Italo_Calvino,"Calvino, Italo",Italo Calvino,If On a Winters Night a Traveller,mobi,schema:Ebook
If_Chins_Could_Kill,authors,:,Bruce_Campbell,"Cambell, Bruce",Bruce Campbell," If Chins Could Kill, Confessions of a B Movie Actor",mobi,schema:Ebook
Power_of_Myth,authors,:,Joseph_Campbell,"Campbell, Joseph",Joseph Campbell,The Power of Myth,mobi,schema:Ebook
Stranger,authors,:,Albert_Camus,"Camus, Albert",Albert Camus,The Stranger,mobi,schema:Ebook
Containment,authors,:,Christian_Cantrell,"Cantrell, Christian",Christian Cantrell,Containment,mobi,schema:Ebook
Breakfast_at_Tiffanys,authors,:,Truman_Capote,"Capote, Truman",Truman Capote,Breakfast at Tiffany's,mobi,schema:Ebook
In_Cold_Blood,authors,:,Truman_Capote,"Capote, Truman",Truman Capote,In Cold Blood,mobi,schema:Ebook
Ender_01,authors,:,Orson_Scott_Card,"Card, Orson Scott",Orson Scott Card,Ender 01 - Ender's Game,mobi,schema:Ebook
Ender_02,authors,:,Orson_Scott_Card,"Card, Orson Scott",Orson Scott Card,Ender 02 - Speaker for the Dead,mobi,schema:Ebook
Ender_03,authors,:,Orson_Scott_Card,"Card, Orson Scott",Orson Scott Card,Ender 03 - Xenocide,mobi,schema:Ebook
Ender_04,authors,:,Orson_Scott_Card,"Card, Orson Scott",Orson Scott Card,Ender 04 - Children of the Mind,mobi,schema:Ebook
Ender_05,authors,:,Orson_Scott_Card,"Card, Orson Scott",Orson Scott Card,Ender 05 - Ender's Shadow,mobi,schema:Ebook
Ender_06,authors,:,Orson_Scott_Card,"Card, Orson Scott",Orson Scott Card,Ender 06 - Shadow of the Hegemon,mobi,schema:Ebook
Ender_07,authors,:,Orson_Scott_Card,"Card, Orson Scott",Orson Scott Card,Ender 07 - Shadow Puppets,mobi,schema:Ebook
Ender_08,authors,:,Orson_Scott_Card,"Card, Orson Scott",Orson Scott Card,Ender 08 - Shadow of the Giant,mobi,schema:Ebook
Seventh_Son,authors,:,Orson_Scott_Card,"Card, Orson Scott",Orson Scott Card,Seventh Son,mobi,schema:Ebook
Brain_Droppings,authors,:,George_Carlin,"Carlin, George",George Carlin,Brain Droppings,mobi,schema:Ebook
Last_Words,authors,:,George_Carlin,"Carlin, George",George Carlin,Last Words,mobi,schema:Ebook
Napalm_and_Silly_Putty,authors,:,George_Carlin,"Carlin, George",George Carlin,Napalm and Silly Putty,mobi,schema:Ebook
Jesus_Bring_Pork_Chops,authors,:,George_Carlin,"Carlin, George",George Carlin,When Will Jesus Bring the Pork Chops,mobi,schema:Ebook
Win_Friends_Influence_People,authors,:,Dale_Carnegie,"Carnegie, Dale",Dale Carnegie,How To Win Friends and Influence People,mobi,schema:Ebook
Fifty_Years_All_Be_Chicks,authors,:,Adam_Carolla,"Carolla, Adam",Adam Carolla,In Fifty Years We'll All Be Chicks,mobi,schema:Ebook
Alienist,authors,:,Caleb_Carr,"Carr, Caleb",Caleb Carr,The Alienist,mobi,schema:Ebook
Adventures_in_Wonderland,authors,:,Lewis_Carroll,"Carroll, Lewis",Lewis Carroll,Alice's Adventures in Wonderland and Through the Looking-Glass,mobi,schema:Ebook
Cash_Autobiography,authors,:,Johnny_Cash,"Cash, Johnny",Johnny Cash,"Cash, The Autobiography",mobi,schema:Ebook
Teachings_of_Don_Juan,authors,:,Carlos_Castaneda,"Castaneda, Carlos",Carlos Castaneda,The Teachings of Don Juan,mobi,schema:Ebook
Heat_Wave,authors,:,Richard_Castle,"Castle, Richard",Richard Castle,Heat Wave,mobi,schema:Ebook
My_Antonia,authors,:,Willa_Cather,"Cather, Willa",Willa Cather,My Antonia,mobi,schema:Ebook
Adventures_Kavalier_Clay,authors,:,Michael_Chabon,"Chabon, Michael",Michael Chabon,The Amazing Adventures of Kavalier and Clay,mobi,schema:Ebook
Big_Sleep,authors,:,Raymond_Chandler,"Chandler, Raymond",Raymond Chandler,The Big Sleep,mobi,schema:Ebook
61_Hours,authors,:,Lee_Child,"Child, Lee",Lee Child,61 Hours,mobi,schema:Ebook
Bad_Luck_and_Trouble,authors,:,Lee_Child,"Child, Lee",Lee Child,Bad Luck and Trouble,mobi,schema:Ebook
Die_Trying,authors,:,Lee_Child,"Child, Lee",Lee Child,Die Trying,mobi,schema:Ebook
Echo_Burning,authors,:,Lee_Child,"Child, Lee",Lee Child,Echo Burning,mobi,schema:Ebook
Gone_Tomorrow,authors,:,Lee_Child,"Child, Lee",Lee Child,Gone Tomorrow,mobi,schema:Ebook
Jack_Reacher_01,authors,:,Lee_Child,"Child, Lee",Lee Child,Jack Reacher 01 - Killing Floor,mobi,schema:Ebook
Jack_Reacher_02,authors,:,Lee_Child,"Child, Lee",Lee Child,Jack Reacher 02 - Die Trying,mobi,schema:Ebook
